This document has 130 terms. 
t_index	term	Norm_tf_idf
291	milosev	0.30092536549500126
461	belgrad	0.28570908515580623
555	strike	0.24408805337583414
2918	maceda	0.2196825559719818
176	opposit	0.2116266811269073
1173	tomorrow	0.15685806826063903
947	jim	0.14643630773412353
759	regim	0.13559415555565396
748	nbc	0.1348538197976511
4839	blackout	0.1339936037467322
667	radio	0.12996993317028283
4358	twohour	0.12866597337339936
4359	tast	0.12866597337339936
656	pressur	0.12866161297708828
3990	poorli	0.12431298240427625
3991	shrink	0.12431298240427625
3989	stoppag	0.12431298240427625
551	serbia	0.12148553260352074
45	work	0.11838428655764714
3438	rid	0.1174444722545059
3437	wealth	0.1174444722545059
2650	jam	0.10585280325661103
2535	disobedi	0.10408344948847849
327	slobodan	0.103247887638228
2215	roadblock	0.09944790670174401
2058	reserv	0.096792355741761
1991	combin	0.09556771038894674
1990	purpos	0.09556771038894674
1935	nationwid	0.09440282814602255
1936	gestur	0.09440282814602255
1937	difficulti	0.09440282814602255
1724	stole	0.09024008001561386
1632	shut	0.08840260822713808
1595	listen	0.08753431799625218
1556	hostag	0.08669650045608224
1476	coal	0.08510422055229
1373	signal	0.0828987752095177
1291	journalist	0.08087993798077044
1225	confront	0.07962305042192878
1201	frustrat	0.07901857889672043
1151	electr	0.07785369665379624
1150	heart	0.07785369665379624
109	gener	0.07620210730772378
1052	bare	0.07568171361493857
1051	mine	0.07568171361493857
1002	draw	0.07466558792759735
974	serb	0.07417329523022477
958	engin	0.07369094852338755
948	oust	0.07321815386706176
934	worri	0.07275454027215843
921	sens	0.07229975795160576
922	spread	0.07229975795160576
923	land	0.07229975795160576
831	march	0.06973923338546459
801	civil	0.06894331468600046
786	eve	0.0685550890600637
78	make	0.06810947864406303
77	come	0.06792826134925947
690	throughout	0.06565755613069302
668	struggl	0.06498496658514141
664	economi	0.06465564619246773
657	real	0.06433080648854414
592	guard	0.06246944740449411
556	hear	0.061022013343958535
541	equip	0.060193883509311985
50	three	0.05995131189049975
526	word	0.05939351750613101
15	time	0.05937075459335633
510	doe	0.058874467717607765
489	independ	0.05811645643537105
469	wait	0.0573817723166264
468	watch	0.0573817723166264
462	surviv	0.057141817031161245
436	tonight	0.05620540877993212
437	victim	0.05620540877993212
409	person	0.054866253135979114
383	organ	0.053804951749379396
358	better	0.052988620951263984
353	hundr	0.05278882606203818
350	station	0.052590689240796976
28	forc	0.05245950566936449
337	accept	0.0520059575678374
328	ralli	0.051623943819114
313	yugoslavia	0.05106214495930444
308	protest	0.05087777840659925
303	keep	0.05069482463829252
299	life	0.05051326216685604
286	step	0.0499767148693526
270	worker	0.04893849260483503
260	chang	0.0484358350929151
252	begin	0.047302554906140014
251	hand	0.04714496126508207
237	thousand	0.04652478743747618
211	give	0.04489797349531593
210	white	0.04489797349531593
209	case	0.04475543366934363
179	point	0.04258345063048596
153	leav	0.04119715706414331
137	man	0.04011989088260916
135	ago	0.03977133943780039
134	dont	0.03977133943780039
125	question	0.03908914017187963
14	peopl	0.039083613044005226
111	presidenti	0.03831712164375281
108	hope	0.03788692351957326
99	well	0.03684416609502024
91	four	0.03623969456981187
83	close	0.035074812326887694
80	month	0.03423699478671774
73	may	0.03360509609027391
69	veri	0.03298949127041994
63	get	0.03230484651131515
58	hous	0.031475758000528216
57	elect	0.031071766129289365
56	leader	0.030912064196479006
5	say	0.029286232106085348
44	power	0.02914839571232019
43	tri	0.029074592408003228
36	news	0.027506095103980947
33	onli	0.02736848463694737
4	thi	0.026700246536072617
30	call	0.026360936406114734
25	week	0.02552085096283836
21	new	0.02398394015822196
16	also	0.019840252282241275
11	year	0.01866822066063368
10	last	0.018573099618738945
9	presid	0.01657094542698714
6	one	0.0147642085354528
1	ha	0.008939991426162246
